parkinglot_id,parkinglot_name,latitude,longitude,parkinglot_div,parkinglot_type,parkinglot_num,parkinglot_cost,parkinglot_add,parkinglot_time
19726,산본시장공영주차장,37.371048,126.940941,공영,노상,112,유료,경기도 군포시 산본동 1061-3,"일요일,공휴일 휴무"
19727,샘모루초교,37.3996796,126.9409285,공영,노외,60,유료,경기도 안양시 동안구 비산1동 405,"일요일,공휴일 휴무"
19728,샘모루초교,37.3996796,126.9409285,공영,노외,60,유료,경기도 안양시 동안구 비산1동 405,"일요일,공휴일 휴무"
19729,배산주차장,35.961532,126.940737,공영,노상,100,무료,전라북도 익산시 모현동 2가 186-1,연중 무휴
19730,당동4공영주차장,37.346879,126.940702,공영,노외,17,무료,경기도 군포시 당동 962-1,연중 무휴
19731,금당로 노상주차장,37.355235,126.94056,공영,노상,88,무료,,연중 무휴
19732,송학동 공영주차장,35.939452,126.940268,공영,노상,36,무료,전라북도 익산시 송학동 97-10,연중 무휴
19733,평화공영주차장,37.364501,126.939479,공영,노외,17,유료,경기도 군포시 금정동 911,연중 무휴
19734,당동3공영주차장,37.34408,126.93913,공영,노외,85,무료,경기도 군포시 당동 973-4,연중 무휴
19735,당동2공영주차장,37.351296,126.938696,공영,노외,207,유료,경기도 군포시 당동 949-3,연중 무휴
19736,명학역,37.3861413,126.9382607,공영,노외,90,유료,경기도 안양시 만안구 안양7동 덕천로 48번길,"주말,공휴일 휴무"
19737,명학역,37.3861413,126.9382607,공영,노외,90,유료,경기도 안양시 만안구 안양7동 덕천로 48번길,"주말,공휴일 휴무"
19738,외곽도로 밑(좌),37.3781221,126.9379963,공영,노외,32,무료,경기도 안양시 만안구 안양8동 1287-2(좌),연중 무휴
19739,외곽도로 밑(우),37.3781221,126.9379963,공영,노외,46,무료,경기도 안양시 만안구 안양8동 1287-2(우),연중 무휴
19740,외곽도로 밑(좌),37.3781221,126.9379963,공영,노외,32,무료,경기도 안양시 만안구 안양8동 1287-2(좌),연중 무휴
19741,외곽도로 밑(우),37.3781221,126.9379963,공영,노외,46,무료,경기도 안양시 만안구 안양8동 1287-2(우),연중 무휴
19742,금산로1공영주차장,37.369531,126.937462,공영,노상,10,무료,경기도 군포시 산본동 216-13,연중 무휴
19743,문화동주민센터,35.18149708,126.9368598,공영,노외,7,무료,광주광역시 북구 각화동 224-12,연중 무휴
19744,문화동주민센터,35.18149708,126.9368598,공영,노외,7,무료,광주광역시 북구 각화동 224-12,연중 무휴
19745,안양테크노벨리,37.3890417,126.9365555,공영,노외,21,무료,경기도 안양시 만안구 안양7동 196-47,연중 무휴
19746,안양테크노벨리,37.3890417,126.9365555,공영,노외,21,무료,경기도 안양시 만안구 안양7동 196-47,연중 무휴
19747,부곡마을 주차장,36.113065,126.936356,공영,노외,16,무료,전라북도 익산시 성당면 부곡리 154-1,연중 무휴
19748,홍제1동 제1공영주차장,37.58506479,126.9360997,공영,노외,30,유료,서울특별시 서대문구 홍제1동 361-36,연중 무휴
19749,완충녹지 주차장,37.3824711,126.9359332,공영,노외,24,무료,경기도 안양시 만안구 안양8동 350-1,연중 무휴
19750,완충녹지 주차장,37.3824711,126.9359332,공영,노외,24,무료,경기도 안양시 만안구 안양8동 350-1,연중 무휴
19751,노상주차장,37.31576267,126.9358945,공영,노상,26,무료,경기도 의왕시 부곡동 196-3~208-4,연중 무휴
19752,공한지 임시주차장(경찰서옆),37.360128,126.93538,공영,노외,150,무료,경기도 군포시 재궁동 847,연중 무휴
19753,성산일출봉 주차장,33.4624686,126.9352237,공영,노외,204,무료,제주특별자치도 서귀포시 성산읍 성산리 114-3,연중 무휴
19754,당말터널위 노상주차장,37.353561,126.93517,공영,노상,114,무료,경기도 군포시 군포1동 당말지하차도,연중 무휴
19755,두암3동주민센터,35.16309033,126.9349202,공영,노외,17,무료,광주광역시 북구 두암동 248,연중 무휴
19756,두암3동주민센터,35.16309033,126.9349202,공영,노외,17,무료,광주광역시 북구 두암동 248,연중 무휴
19757,보라매제1공영,37.488519,126.934517,공영,노외,133,유료,서울특별시 관악구 봉천동 산 110-4,연중 무휴
19758,덕천노외,37.3901867,126.9344722,공영,노외,18,유료,경기도 안양시 만안구 안양7동 194-36,"주말,공휴일 휴무"
19759,덕천노외,37.3901867,126.9344722,공영,노외,18,유료,경기도 안양시 만안구 안양7동 194-36,"주말,공휴일 휴무"
19760,덕천노상,37.38976142,126.9344635,공영,노상,58,유료,경기도 안양시 만안구 안양동 194-49,"주말,공휴일 휴무"
19761,연희동 제3공영주차장,37.56753413,126.9344394,공영,노외,35,유료,서울특별시 서대문구 연희동 50-3,연중 무휴
19762,신촌동 제1공영주차장,37.55912599,126.9343517,공영,노외,33,유료,서울특별시 서대문구 창천동 70-34,연중 무휴
